Gorod_PP_sokr;Город_ПП;ID;Год_Поступления;КодФакультета;Город_УЗ;Тип_УЗ;Пол;Основания;Изучаемый_Язык;Страна_ПП;Регион_ПП;Общежитие;Страна_Родители;Село;Иностранец;ЕГЭ;Общий балл;Тип паузы после УЗ;Месяц рождения;Наличие_Матери;Наличие_Отца;Статус;Код_группы;God_GR;Vozrast_to_VUS;Количество поступавших из города
Барнаул;Барнаул;72716;2015;41.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;64.41;один год;02;0;0.0;3;16019;1998;17.4166666666667;6861
Барнаул;Барнаул;63306;2010;28.0;не указано;не указано;Муж;ЦН;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;67;нет данных об обучении до ВУЗа;04;1;1.0;4;14895;1992;18.25;6861
Алтайское;Алтайское;82469;2017;41.0;Алтайский Край;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;61.995;поступил сразу;03;1;1.0;4;20103;1999;18.3333333333333;48
Барнаул;Барнаул;81661;2017;35.0;Барнаул;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;74;поступил сразу;12;1;1.0;4;19838;1994;22.5833333333333;6861
Барнаул;Барнаул;81509;2017;28.0;Барнаул;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;53;поступил сразу;06;1;1.0;4;19803;1995;22;6861
Барнаул;Барнаул;72669;2015;41.0;Барнаул;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;55.38;поступил сразу;11;0;0.0;3;18733;1997;17.6666666666667;6861
неизвестно;неизвестно;57717;2013;51.0;не указано;не указано;Муж;СН;нет данных;не указана;не указано;0;не указана;0.0;0.0;1;67;нет данных об обучении до ВУЗа;05;1;1.0;4;16945;1995;18.1666666666667;490
Калманка;Калманка;65208;2014;51.0;Алтайский Край;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;58;поступил сразу;05;0;0.0;3;18196;1996;18.1666666666667;19
Барнаул;Барнаул;78608;2016;26.0;Барнаул;ФГБОУ ВО;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;78;поступил сразу;09;1;1.0;4;19620;1994;21.8333333333333;6861
Барнаул;Барнаул;83857;2017;34.0;Барнаул;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;65;поступил сразу;06;1;1.0;3;19966;1999;18.0833333333333;6861
Барнаул;Барнаул;86744;2018;26.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;87;поступил сразу;08;1;1.0;3;21694;2000;17.9166666666667;6861
неизвестно;неизвестно;52217;2012;24.0;не указано;не указано;Жен;ОО;Английский язык;не указана;не указано;не указавно;не указана;не указано;не указано;1;55;нет данных об обучении до ВУЗа;04;1;1.0;4;16851;1991;21.25;490
Барнаул;Барнаул;81843;2017;41.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;67.05;поступил сразу;04;1;1.0;3;20091;2001;16.25;6861
малое поселение;Сросты;54202;2012;30.0;не указано;не указано;Жен;ОО;нет данных;Россия;Алтайский край;1;Россия;1.0;0.0;1;56;нет данных об обучении до ВУЗа;04;1;1.0;4;17408;1994;18.25;4
Новоалтайск;Новоалтайск;73010;2015;36.0;Барнаул;ФГБОУ ВО;Жен;ОО;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;77;поступил сразу;06;0;0.0;3;20877;1992;23.0833333333333;398
Топчиха;Топчиха;84008;2017;26.0;Москва;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;70;один год;09;1;1.0;4;20889;1994;22.8333333333333;26
неизвестно;неизвестно;48587;2012;24.0;не указано;не указано;Жен;СН;нет данных;Россия;не указано;0;не указана;0.0;0.0;1;64;нет данных об обучении до ВУЗа;08;1;1.0;4;14665;1993;18.9166666666667;490
неизвестно;неизвестно;53187;2012;26.0;не указано;не указано;Муж;ДН;нет данных;не указана;не указано;не указавно;не указана;не указано;не указано;1;88;нет данных об обучении до ВУЗа;06;1;1.0;3;12426;1982;30.0833333333333;490
Бийск;Бийск;83574;2017;48.0;Бийск;средняя школа;Муж;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;60;поступил сразу;01;1;1.0;4;20939;1999;18.5;540
Барнаул;Барнаул;65422;2014;51.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;56;два года;07;0;0.0;3;15423;1990;23.9166666666667;6861
Новые;Новые;75303;2016;27.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;66;поступил сразу;07;1;1.0;4;18491;1993;22.9166666666667;13
неизвестно;неизвестно;58638;2012;48.0;не указано;не указано;Жен;ОО;нет данных;не указана;не указано;0;не указана;0.0;0.0;1;63;нет данных об обучении до ВУЗа;09;1;1.0;4;16973;1976;35.8333333333333;490
Шемонаиха;Шемонаиха;51476;2012;26.0;Казахстан;средняя школа;Муж;СН;Английский язык;Казахстан;Казахстан;0;не указана;0.0;0.0;1;61;поступил сразу;11;1;1.0;3;13409;1994;17.5833333333333;44
Новоалтайск;Новоалтайск;50640;2013;40.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;90;поступил сразу;01;0;0.0;4;15398;1991;22.5;398
Барнаул;Барнаул;84104;2017;26.0;Москва;ФГБОУ ВО;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;68;поступил сразу;08;1;1.0;4;20892;1995;21.8333333333333;6861
Ключи;Ключи;71922;2015;34.0;Алтайский Край;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;72;поступил сразу;03;0;0.0;4;19451;1997;18.3333333333333;27
Жалал;Жалал;67850;2014;30.0;Кыргызстан;средняя школа;Жен;БН;Английский язык;Кыргызстан;Джалал-Абадская область Кыргызстан;1;Кыргызстан;0.0;1.0;1;76;поступил сразу;06;0;0.0;4;20444;1995;19.0833333333333;16
Барнаул;Барнаул;66046;2014;35.0;Алтайский Край;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;63;поступил сразу;06;0;0.0;4;18228;1996;18.0833333333333;6861
Барнаул;Барнаул;71525;2015;26.0;Алтайский Край;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;82;поступил сразу;02;0;0.0;4;19429;1997;18.4166666666667;6861
Барнаул;Барнаул;72342;2015;34.0;Барнаул;ФГБОУ ВО;Жен;БН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;53;поступил сразу;11;0;0.0;4;20622;1994;20.5833333333333;6861
Бийск;Бийск;56807;2013;45.0;Москва;ФГБОУ ВО;Муж;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;не указано;1;65;один год;01;0;0.0;3;15640;1988;25.5;540
малое поселение;Утянка;84325;2017;25.0;Москва;ФГБОУ ВО;Муж;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;63;поступил сразу;03;1;1.0;4;21821;1997;20.3333333333333;1
Барнаул;Барнаул;81094;2017;28.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;48;поступил сразу;05;1;1.0;3;21926;1999;18.1666666666667;6861
Белокуриха;Белокуриха;72581;2015;41.0;Алтайский Край;средняя школа;Жен;ОО;Немецкий язык;Россия;Алтайский край;1;Россия;0.0;0.0;0;69;поступил сразу;08;0;0.0;4;17440;1997;17.9166666666667;88
Заринск;Заринск;49427;2013;31.0;Заринск;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;72;поступил сразу;05;0;0.0;4;17794;1996;17.1666666666667;129
Славгород;Славгород;63535;2013;25.0;Алтайский Край;техникум;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;47;два года;05;1;1.0;4;17818;1991;22.1666666666667;129
Бийск;Бийск;52913;2013;51.0;Бийск;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;54;поступил сразу;05;0;0.0;3;18243;1995;18.1666666666667;540
Черемное;Черемное;54189;2012;30.0;не указано;не указано;Жен;ОО;нет данных;Россия;Алтайский край;0;Россия;1.0;0.0;1;64;нет данных об обучении до ВУЗа;12;1;1.0;4;17408;1993;18.5833333333333;17
Барнаул;Барнаул;77493;2016;26.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;95;поступил сразу;10;1;1.0;4;18525;1993;22.75;6861
малое поселение;Железинка;77434;2016;36.0;Казахстан;Университет;Муж;ДН;Английский язык;Казахстан;Павлодарская обл;0;Казахстан;1.0;1.0;1;85;поступил сразу;05;1;1.0;4;19639;1993;23.1666666666667;1
Камень;Камень;65860;2014;24.0;Алтайский Край;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;51;поступил сразу;09;0;0.0;4;19330;1996;17.8333333333333;181
Барнаул;Барнаул;69688;2015;27.0;Алтайский Край;средняя школа;Муж;ОО;Немецкий язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;56;поступил сразу;10;0;0.0;3;15875;1997;17.75;6861
Усть;Усть;47817;2012;34.0;иное;средняя школа;Жен;ОО;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;53;поступил сразу;11;1;1.0;4;14952;1994;17.6666666666667;156
Тальменка;Тальменка;51191;2013;35.0;Барнаул;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;56;поступил сразу;09;0;0.0;4;16911;1995;17.8333333333333;56
Верх;Верх;71242;2015;28.0;Алтайский Край;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;82;поступил сразу;03;0;0.0;4;19459;1998;17.3333333333333;48
Усть;Усть;85214;2018;51.0;Казахстан;иное;Жен;СН;Английский язык;Казахстан;Казахстан;1;Казахстан;0.0;1.0;1;67;поступил сразу;05;1;1.0;3;20240;2000;18.1666666666667;156
Михайловское;Михайловское;71306;2015;28.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;58;поступил сразу;10;0;0.0;3;16124;1995;19.6666666666667;26
Барнаул;Барнаул;56984;2013;26.0;Барнаул;ФГБОУ ВО;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;не указано;1;80;от 5 до 10 лет;11;0;0.0;3;12412;1980;32.6666666666667;6861
Калманка;Калманка;80681;2017;51.0;Барнаул;Колледж;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;57;один год;01;1;1.0;3;19984;1996;21.5;19
Новоалтайск;Новоалтайск;72462;2015;41.0;Новоалтайск;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;71.46;поступил сразу;05;0;0.0;4;19510;1999;16.1666666666667;398
Барнаул;Барнаул;52096;2013;41.0;Барнаул;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;не указано;1;31;от трех до пяти лет;05;0;0.0;3;12120;1993;20.1666666666667;6861
Барнаул;Барнаул;71580;2015;26.0;иное;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;58;поступил сразу;02;0;0.0;4;19430;1997;18.4166666666667;6861
Барнаул;Барнаул;67548;2014;31.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;80;свыше 10 лет;02;0;0.0;3;15633;1967;47.4166666666667;6861
Белокуриха;Белокуриха;59684;2013;45.0;иное;техникум;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;не указано;1;85;три года;11;0;0.0;3;12812;1985;27.6666666666667;88
Барнаул;Барнаул;67469;2014;41.0;Новоалтайск;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;87;поступил сразу;03;0;0.0;3;22264;1998;16.3333333333333;6861
Барнаул;Барнаул;80781;2017;36.0;Барнаул;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;49;поступил сразу;01;1;1.0;3;20031;1999;18.5;6861
малое поселение;Цзеян;84456;2017;51.0;Китай;средняя школа;Жен;ДН;Английский язык;Китай;Гуандун пров.;1;Китай;0.0;1.0;1;45;два года;10;1;1.0;4;19904;1996;20.75;2
Барнаул;Барнаул;72922;2015;26.0;Барнаул;ФГБОУ ВО;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;85;поступил сразу;01;0;0.0;4;17218;1993;22.5;6861
Барнаул;Барнаул;69724;2015;27.0;Алтайский Край;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;55;один год;10;0;0.0;3;18378;1996;18.6666666666667;6861
Барнаул;Барнаул;65786;2014;24.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;83;поступил сразу;04;0;0.0;4;18201;1996;18.25;6861
